,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,75,US,1586562831,59,42.1,-79.24,37.99,19.46
1,Nikolskoye,75,RU,1586563077,95,59.7,30.79,33.01,4.47
2,Lethem,89,GY,1586563078,62,3.38,-59.8,84.38,10.76
3,Rikitea,86,PF,1586563079,74,-23.12,-134.97,77.43,7.4
4,Quatre Cocos,40,MU,1586563080,78,-20.21,57.76,78.8,11.41
5,Ushuaia,40,AR,1586562887,73,-54.8,-68.3,44.6,10.29
6,Saint George,1,US,1586563069,39,37.1,-113.58,64.99,18.34
7,Port Alfred,49,ZA,1586563084,86,-33.59,26.89,64.76,4.05
8,Sabang,87,ID,1586563085,78,5.89,95.32,83.01,11.99
9,New Norfolk,75,AU,1586563086,66,-42.78,147.06,55.99,5.82
10,Castro,27,BR,1586563088,63,-24.79,-50.01,55.06,3.33
11,Yeppoon,19,AU,1586563089,69,-23.13,150.73,80.6,6.93
12,Yellowknife,75,CA,1586562976,57,62.46,-114.35,19.4,17.22
13,Mataura,0,NZ,1586563091,71,-46.19,168.86,62.01,3.0
14,Talnakh,75,RU,1586563093,92,69.49,88.4,17.6,29.08
15,Departamento de Maldonado,20,UY,1586562866,87,-34.67,-54.92,60.8,3.36
16,Sørland,100,NO,1586563095,82,67.67,12.69,33.85,17.29
17,Honningsvåg,100,NO,1586563096,90,70.98,25.97,29.71,17.63
18,Port Lincoln,99,AU,1586563097,62,-34.73,135.87,61.72,14.54
19,Bredasdorp,69,ZA,1586563099,87,-34.53,20.04,57.2,4.7
20,Mahébourg,40,MU,1586562925,78,-20.41,57.7,78.8,11.41
21,Eureka,90,US,1586562977,81,40.8,-124.16,57.0,16.11
22,Poum,85,NC,1586563102,66,-20.23,164.02,77.79,8.81
23,Arraial do Cabo,75,BR,1586563096,88,-22.97,-42.03,71.6,2.24
24,Andenes,100,NO,1586563105,80,69.31,16.12,30.2,25.28
25,Busselton,64,AU,1586563106,46,-33.65,115.33,71.01,11.79
26,Barrow,90,US,1586563094,70,71.29,-156.79,-0.4,12.75
27,Lompoc,20,US,1586562914,72,34.64,-120.46,66.99,12.75
28,Kundiawa,98,PG,1586563110,33,-6.02,144.97,77.81,3.31
29,Sacramento,75,US,1586562911,52,38.47,-121.32,72.0,5.82
30,Tibati,100,CM,1586563112,74,6.47,12.63,69.53,2.33
31,Arkhara,62,RU,1586563114,56,49.42,130.08,44.24,1.63
32,Port Elizabeth,40,ZA,1586563094,93,-33.92,25.57,59.0,3.36
33,Kapaa,20,US,1586563087,61,22.08,-159.32,78.8,8.05
34,Ribeira Grande,21,PT,1586563118,75,38.52,-28.7,61.83,4.81
35,Thompson,75,CA,1586562973,47,55.74,-97.86,33.8,6.93
36,Bathsheba,20,BB,1586563119,74,13.22,-59.52,80.6,11.41
37,Santa Cruz de Tenerife,75,ES,1586562901,93,28.47,-16.25,71.01,24.16
38,Ketchikan,1,US,1586562888,37,55.34,-131.65,50.0,13.87
39,Torbay,90,CA,1586563124,100,47.67,-52.73,37.4,8.05
40,Aklavik,75,CA,1586563125,35,68.22,-135.01,26.6,9.17
41,Codrington,63,AU,1586563126,61,-38.27,141.97,54.84,29.35
42,Qaanaaq,28,GL,1586563088,76,77.48,-69.36,5.74,7.27
43,Mehamn,99,NO,1586563128,89,71.04,27.85,26.13,18.28
44,Matara,3,LK,1586563130,88,5.95,80.54,76.69,6.82
45,Hasaki,20,JP,1586563131,39,35.73,140.83,55.0,4.7
46,Carnarvon,85,AU,1586563132,100,-24.87,113.63,73.4,5.82
47,Daru,100,PG,1586563133,70,-9.08,143.21,83.84,7.47
48,Kaitangata,0,NZ,1586563134,54,-46.28,169.85,61.03,2.75
49,Geraldton,2,AU,1586562932,60,-28.77,114.6,68.0,5.82
50,Pangnirtung,28,CA,1586563137,81,66.15,-65.71,13.57,3.56
51,Hermanus,69,ZA,1586563087,97,-34.42,19.23,61.0,4.41
52,Hithadhoo,37,MV,1586562919,61,-0.6,73.08,84.34,6.89
53,San Lazaro,5,BZ,1586563141,70,18.04,-88.66,86.0,18.34
54,Khovd,100,MN,1586563142,36,48.01,91.64,40.23,1.83
55,Tasiilaq,99,GL,1586563143,73,65.61,-37.64,23.0,3.53
56,Atuona,79,PF,1586563144,78,-9.8,-139.03,82.24,11.1
57,Pitimbu,78,BR,1586563146,94,-7.47,-34.81,78.8,4.7
58,Grindavik,90,IS,1586563147,93,63.84,-22.43,41.0,11.41
59,Butaritari,100,KI,1586563148,74,3.07,172.79,84.7,9.82
60,Istok,9,XK,1586563149,56,42.78,20.49,42.8,2.53
61,Rengo,90,CL,1586563150,59,-34.42,-70.87,64.4,8.05
62,Carballo,90,ES,1586563152,100,43.21,-8.69,57.0,1.12
63,Pacific Grove,20,US,1586563011,63,36.62,-121.92,66.99,12.75
64,Klaksvík,100,FO,1586563154,100,62.23,-6.59,44.6,9.17
65,Inírida,84,CO,1586563155,92,3.87,-67.92,74.62,2.51
66,Punta Arenas,40,CL,1586563156,81,-53.15,-70.92,42.8,8.05
67,San Andrés,40,CO,1586563158,74,12.58,-81.7,84.2,9.17
68,Skibbereen,75,IE,1586563159,82,51.55,-9.27,55.4,4.7
69,Hot Springs,1,US,1586563160,23,34.5,-93.06,64.4,3.36
70,Ranong,20,TH,1586563161,88,9.97,98.63,78.8,2.24
71,Mahon,6,ES,1586563109,93,39.89,4.27,50.0,4.05
72,Ixtapa,75,MX,1586563164,69,20.7,-105.2,80.6,17.22
73,Norman Wells,20,CA,1586563165,50,65.28,-126.83,28.4,9.17
74,Cherskiy,100,RU,1586563166,91,68.75,161.3,12.56,22.32
75,Puerto Ayora,20,EC,1586563167,70,-0.74,-90.35,84.2,3.36
76,Camaná,84,PE,1586562960,77,-16.62,-72.71,72.59,6.13
77,Orda,100,RU,1586563170,73,57.2,56.91,37.36,15.41
78,São Filipe,2,CV,1586563171,79,14.9,-24.5,74.46,13.71
79,Taoudenni,0,ML,1586563173,13,22.68,-3.98,84.0,5.48
80,Uchiza,63,PE,1586563146,70,-8.46,-76.46,74.07,2.82
81,Kununurra,40,AU,1586563175,78,-15.77,128.73,73.4,5.82
82,Avarua,100,CK,1586563176,89,-21.21,-159.78,84.2,6.93
83,San Cristobal,40,VE,1586563119,55,7.77,-72.22,89.6,8.05
84,Leningradskiy,38,RU,1586563179,87,69.38,178.42,10.76,8.21
85,Alice Springs,1,AU,1586563083,28,-23.7,133.88,71.6,8.75
86,Lebu,78,CL,1586563181,91,-37.62,-73.65,56.77,9.71
87,Upernavik,0,GL,1586563182,86,72.79,-56.15,11.26,10.38
88,Kozyatyn,0,UA,1586563184,69,49.71,28.83,36.59,7.05
89,Doha,100,QA,1586562990,17,25.29,51.53,93.2,16.11
90,Champerico,58,GT,1586563186,67,14.3,-91.92,85.51,9.73
91,Chui,0,UY,1586563187,84,-33.7,-53.46,61.65,6.78
92,Albany,75,US,1586563188,45,42.6,-73.97,44.6,21.92
93,Tanout,98,NE,1586563190,12,14.97,8.89,82.94,5.86
94,Bethel,90,US,1586563031,48,41.37,-73.41,46.4,12.75
95,Kabinda,85,CD,1586563192,77,-6.13,24.48,68.97,2.42
96,Adrar,0,MR,1586563193,14,20.5,-10.07,80.8,10.92
97,Vaini,40,TO,1586563194,69,-21.2,-175.2,78.8,9.17
98,Phan Thiet,74,VN,1586563196,72,10.93,108.1,79.29,5.37
99,Port Hawkesbury,75,CA,1586563197,74,45.62,-61.35,37.99,18.34
100,Vardø,100,NO,1586563198,92,70.37,31.11,27.88,16.26
101,Hambantota,4,LK,1586562922,80,6.12,81.12,80.01,11.3
102,Zhigansk,0,RU,1586563201,95,66.77,123.37,24.94,12.41
103,Kavaratti,0,IN,1586563204,70,10.57,72.64,84.13,6.11
104,Hamilton,20,US,1586562925,36,39.18,-84.53,48.99,13.87
105,Mar del Plata,0,AR,1586563208,77,-38.0,-57.56,59.0,8.05
106,Arkhangelsk,40,RU,1586563209,79,64.54,40.54,21.2,3.96
107,Saint-Philippe,73,RE,1586563212,69,-21.36,55.77,77.0,9.17
108,Tuktoyaktuk,20,CA,1586563093,72,69.45,-133.04,12.2,9.17
109,Ponta do Sol,20,PT,1586563216,72,32.67,-17.1,64.4,8.05
110,Cape Town,75,ZA,1586563031,93,-33.93,18.42,62.6,6.93
111,Haines Junction,0,CA,1586563219,71,60.75,-137.51,29.37,4.05
112,Mponela,23,MW,1586563221,70,-13.53,33.74,59.94,5.35
113,Saint-Pierre,62,RE,1586563222,69,-21.34,55.48,77.0,9.17
114,Soyo,43,AO,1586563224,86,-6.13,12.37,79.93,5.35
115,Bluff,0,NZ,1586563226,68,-46.6,168.33,63.0,3.0
116,Hong Kong,40,HK,1586563227,83,22.29,114.16,73.99,12.75
117,Dingle,36,PH,1586563228,71,11.0,122.67,81.21,10.67
118,São Francisco de Paula,6,BR,1586563229,97,-29.45,-50.58,63.0,0.74
119,Natal,20,BR,1586563231,83,-5.79,-35.21,80.6,4.7
120,Ilave,34,PE,1586563232,21,-16.08,-69.67,45.37,2.68
121,Mīrābād,100,AF,1586563233,37,30.44,61.84,71.47,11.77
122,Hammerfest,100,NO,1586563234,86,70.66,23.68,26.6,4.7
123,Chulym,75,RU,1586563236,94,55.1,80.96,28.4,7.9
124,Novominskaya,54,RU,1586563237,71,46.32,38.96,45.63,10.92
125,East London,96,ZA,1586563238,77,-33.02,27.91,69.04,4.05
126,Novo Aripuanã,85,BR,1586563241,88,-5.12,-60.38,77.11,1.28
127,Vostok,49,RU,1586563122,61,46.49,135.88,34.56,4.79
128,Ati,89,TD,1586563244,12,13.22,18.34,84.97,10.78
129,Vila Velha,90,BR,1586563234,94,-20.33,-40.29,73.4,3.36
130,Karratha,14,AU,1586563246,52,-20.74,116.85,83.64,7.31
131,Bandar-e Lengeh,100,IR,1586563248,61,26.56,54.88,79.12,18.25
132,Narsaq,100,GL,1586563088,28,60.92,-46.05,44.6,27.51
133,Grand Gaube,40,MU,1586563250,78,-20.01,57.66,78.8,11.41
134,Esperance,75,AU,1586563251,82,-33.87,121.9,62.6,6.93
135,Octeville,10,FR,1586563253,67,49.63,-1.64,60.01,8.05
136,Caravelas,71,BR,1586563254,85,-17.71,-39.25,77.65,14.2
137,Tocopilla,25,CL,1586563255,52,-22.09,-70.2,70.81,5.99
138,Paragominas,95,BR,1586563257,92,-2.97,-47.48,75.18,3.13
139,Jequié,64,BR,1586563258,85,-13.86,-40.08,73.99,3.4
140,Hilo,90,US,1586563259,74,19.73,-155.09,78.8,8.05
141,Stephenville,1,US,1586563260,43,32.22,-98.2,72.0,9.17
142,Erdenet,0,MN,1586563262,35,49.03,104.08,41.34,1.83
143,Cidreira,5,BR,1586563108,77,-30.18,-50.21,64.67,6.71
144,Tromsø,75,NO,1586563264,92,69.65,18.96,26.6,21.92
145,Crestview,1,US,1586563010,28,30.76,-86.57,71.6,3.36
146,Aswān,0,EG,1586563266,33,24.09,32.91,62.01,9.8
147,Cabo San Lucas,40,MX,1586563234,49,22.89,-109.91,75.99,16.11
148,Nānākuli,90,US,1586563269,69,21.39,-158.15,82.4,6.93
149,Chara,97,RU,1586563270,55,56.91,118.26,36.9,0.83
150,Gelemso,3,ET,1586563271,44,8.82,40.52,62.8,4.94
151,Beyneu,40,KZ,1586563273,67,45.32,55.2,44.06,12.19
152,Iqaluit,75,CA,1586563275,72,63.75,-68.51,14.0,2.1
153,Northam,71,GB,1586563095,73,51.03,-4.22,57.0,6.76
154,Ostrovnoy,49,RU,1586563278,94,68.05,39.51,14.34,11.27
155,Örnsköldsvik,0,SE,1586563279,93,63.29,18.72,33.8,11.41
156,Fairbanks,90,US,1586563232,86,64.84,-147.72,37.4,6.89
157,Piranshahr,21,IR,1586563281,46,36.7,45.14,40.21,5.84
158,Floriano,100,BR,1586563283,74,-6.77,-43.02,79.41,1.36
159,Saldanha,47,ZA,1586563284,93,-33.01,17.94,60.8,4.7
160,Nioro,0,GM,1586563285,60,13.35,-15.75,72.86,6.8
161,Treinta y Tres,7,UY,1586563287,89,-33.23,-54.38,56.07,6.13
162,Bambous Virieux,40,MU,1586563288,78,-20.34,57.76,78.8,11.41
163,Buala,4,SB,1586563289,71,-8.14,159.59,85.01,7.02
164,Khatanga,92,RU,1586563099,96,71.97,102.5,30.99,21.07
165,Turukhansk,100,RU,1586563292,98,65.82,87.98,29.16,16.28
166,Bengkulu,99,ID,1586563293,80,-3.8,102.27,77.63,4.59
167,Kieta,10,PG,1586563294,70,-6.22,155.63,84.81,4.63
168,Sanmenxia,50,CN,1586563296,64,34.77,111.18,44.74,4.34
169,Lasem,22,ID,1586563297,81,-6.69,111.45,80.71,7.61
170,Puerto Maldonado,0,PE,1586563298,61,-12.6,-69.18,72.48,2.39
171,Tiksi,68,RU,1586563086,93,71.69,128.87,23.34,26.69
172,Challapata,0,BO,1586563024,13,-18.9,-66.77,51.15,4.76
173,Blankenberge,75,BE,1586563302,71,51.31,3.13,55.0,8.05
174,Horasan,99,TR,1586563303,50,40.05,42.17,38.46,2.64
175,Airai,5,TL,1586563304,63,-8.93,125.41,66.74,1.63
176,Bowen,70,AU,1586563305,78,-20.02,148.23,82.99,1.12
177,Pizarro,84,CO,1586563307,87,4.95,-77.37,79.97,2.42
178,Ekibastuz,0,KZ,1586563308,72,51.67,75.37,36.84,7.25
179,Jalu,1,LY,1586563309,60,29.03,21.55,57.02,9.66
180,Great Bend,1,US,1586563195,39,38.36,-98.76,69.8,23.04
181,Ayr,40,GB,1586563312,93,55.46,-4.63,52.0,4.59
182,Matagami,90,CA,1586563313,74,49.75,-77.63,30.2,17.22
183,Ziro,0,IN,1586563314,42,27.63,93.83,49.35,3.47
184,Dikson,97,RU,1586563316,95,73.51,80.55,9.77,10.27
185,Waipawa,0,NZ,1586563317,67,-41.41,175.52,62.6,20.8
186,Cruzília,11,BR,1586563286,69,-21.84,-44.81,59.5,3.49
187,Boyabat,0,TR,1586563320,54,41.47,34.77,42.26,3.04
188,Acheng,0,CN,1586563321,41,45.55,126.98,50.0,8.95
189,Port Blair,84,IN,1586563322,68,11.67,92.75,82.24,7.94
190,Fort Dodge,90,US,1586563324,31,42.5,-94.17,51.01,8.05
191,Chokurdakh,40,RU,1586563325,96,70.63,147.92,23.54,13.87
192,Saint-Michel-des-Saints,100,CA,1586563326,7,46.68,-73.92,36.0,1.01
193,Olafsvik,36,IS,1586563327,80,64.89,-23.71,36.52,13.82
194,Port-Gentil,74,GA,1586563329,85,-0.72,8.78,81.5,10.87
195,Gelibolu,0,TR,1586563330,73,40.41,26.67,53.96,1.54
196,Saint Paul Harbor,1,US,1586563331,65,57.79,-152.41,41.0,9.17
197,Merauke,77,ID,1586563265,73,-8.47,140.33,82.98,7.14
198,Luganville,40,VU,1586563337,65,-15.53,167.17,82.4,3.36
199,Coahuayana Viejo,20,MX,1586563244,31,18.73,-103.68,89.6,11.41
200,Sorata,65,BO,1586563339,24,-15.77,-68.63,46.92,1.14
201,Hobart,75,AU,1586563219,66,-42.88,147.33,55.99,5.82
202,Shar,0,KZ,1586563342,76,49.59,81.05,33.4,4.94
203,Arandis,33,NA,1586563346,84,-22.42,14.97,64.0,1.01
204,Buraidah,4,SA,1586563348,35,26.33,43.98,69.8,6.93
205,Kourou,97,GF,1586563350,88,5.16,-52.65,80.6,6.93
206,Banda Aceh,84,ID,1586563351,82,5.56,95.32,79.39,5.73
207,Gamba,86,GA,1586563100,86,-2.65,10.0,80.6,7.58
208,Katsuura,20,JP,1586563353,37,35.13,140.3,55.99,9.17
209,Springfield,1,US,1586563069,33,37.22,-93.3,60.01,9.17
210,Tegul'det,82,RU,1586563356,97,57.31,88.17,30.04,4.85
211,Santa Cruz de la Sierra,20,BO,1586563357,49,-17.8,-63.17,73.4,3.36
212,Chivay,9,PE,1586563359,18,-15.64,-71.6,49.57,6.35
213,Ancud,20,CL,1586563360,81,-41.87,-73.82,53.6,5.82
214,Vestmannaeyjar,100,IS,1586563362,86,63.44,-20.27,43.75,8.61
215,São Félix do Xingu,26,BR,1586563363,88,-6.64,-51.99,74.62,1.59
216,Fort Nelson,40,CA,1586563217,29,58.81,-122.7,33.8,13.87
217,Jimeta,91,NG,1586563365,54,9.28,12.47,81.18,3.96
218,Synya,100,RU,1586563367,96,65.37,58.04,20.41,10.13
219,Energetik,54,RU,1586563368,68,51.74,58.79,38.77,6.11
220,Arman',6,RU,1586563369,92,59.7,150.17,21.7,8.46
221,Hobyo,92,SO,1586563370,70,5.35,48.53,82.33,8.81
222,Comodoro Rivadavia,75,AR,1586563323,77,-45.87,-67.5,62.6,4.7
223,Port Hedland,0,AU,1586563373,69,-20.32,118.57,78.8,6.93
224,Hofn,100,IS,1586563374,87,64.25,-15.21,41.07,12.1
225,Yarensk,91,RU,1586563375,97,62.17,49.09,21.85,5.88
226,Niigata,40,JP,1586563152,75,37.9,139.02,48.2,10.29
227,Buchanan,20,LR,1586563378,85,5.88,-10.05,79.47,3.89
228,Dubbo,64,AU,1586563345,77,-32.25,148.62,64.4,12.75
229,Sitka,1,US,1586563380,39,57.05,-135.33,46.4,6.93
230,Yangi Marg`ilon,100,UZ,1586563382,70,40.43,71.72,48.2,4.7
231,Stabat,40,ID,1586563383,100,3.76,98.45,77.0,2.24
232,Jaisinghnagar,11,IN,1586563384,21,23.7,81.38,73.06,3.24
233,Bata,96,GQ,1586563385,83,1.86,9.77,79.99,3.98
234,Puerto Carreño,75,CO,1586563387,69,6.19,-67.49,82.4,4.7
235,Quelimane,67,MZ,1586563388,85,-17.88,36.89,72.18,5.3
236,Tilichiki,1,RU,1586563389,92,60.47,166.1,12.24,5.53
237,Atyrau,0,KZ,1586563305,69,47.12,51.88,33.8,6.71
238,Kalundborg,14,DK,1586563212,77,55.68,11.09,39.2,4.7
239,Kloulklubed,75,PW,1586563393,74,7.04,134.26,84.2,8.05
240,Patea,0,NZ,1586563394,76,-39.76,174.48,63.0,5.01
241,Bolbec,66,FR,1586563396,51,49.57,0.47,62.6,9.17
242,Vila,75,PT,1586563398,100,42.03,-8.16,57.99,1.12
243,Deputatsky,66,RU,1586563128,90,69.3,139.9,21.94,23.17
244,Saskylakh,92,RU,1586563401,93,71.92,114.08,28.17,19.35
245,Kibakwe,27,TZ,1586563402,70,-6.72,36.37,61.79,3.02
246,Padang,70,ID,1586563403,77,-0.95,100.35,78.62,4.61
247,Alta Floresta,100,BR,1586563404,85,-9.88,-56.09,74.41,0.76
248,Kaeo,3,NZ,1586563405,64,-35.1,173.78,68.0,3.0
249,Belaya Gora,89,RU,1586563407,94,68.53,146.42,30.2,12.64
250,General Roca,11,AR,1586563408,64,-39.03,-67.58,71.6,16.13
251,Mission,20,US,1586563283,88,26.22,-98.33,78.8,13.87
252,Broome,90,US,1586563411,69,42.25,-75.83,39.0,17.22
253,Lima,20,PE,1586563297,83,-12.04,-77.03,71.6,8.05
254,Maputo,99,MZ,1586563414,78,-25.97,32.59,67.91,5.37
255,Anadyr,0,RU,1586563415,77,64.75,177.48,1.4,2.24
256,Gejiu,93,CN,1586563416,54,23.31,103.16,55.8,3.24
257,Hervey Bay,94,AU,1586563417,73,-25.3,152.85,84.0,11.41
258,Būlaevo,0,KZ,1586563419,84,54.91,70.44,34.7,8.19
259,Guerrero Negro,7,MX,1586563420,60,27.98,-114.06,63.73,18.86
260,Mendoza,0,AR,1586563389,43,-32.89,-68.83,71.6,3.36
261,Zhezkazgan,99,KZ,1586563423,63,47.8,67.71,37.69,9.6
262,Eresós,0,GR,1586563424,58,39.17,25.93,57.2,9.17
263,Provideniya,100,RU,1586563425,93,64.38,-173.3,14.2,13.6
264,Srednekolymsk,100,RU,1586563426,97,67.45,153.68,24.93,10.69
265,Vallenar,0,CL,1586563428,62,-28.57,-70.76,61.7,1.83
266,Puerto Escondido,40,MX,1586563429,83,15.85,-97.07,82.4,5.82
267,Nanortalik,100,GL,1586563430,88,60.14,-45.24,32.83,6.33
268,Monterey,1,US,1586563204,59,36.25,-121.25,66.0,13.87
269,Ngama,50,TD,1586563432,12,11.78,17.17,86.56,11.99
270,Qui Nhon,97,VN,1586563434,79,13.77,109.23,79.21,2.04
271,Xichang,28,CN,1586563435,41,27.9,102.26,55.87,2.62
272,Hinton,100,CA,1586563297,64,53.4,-117.59,30.43,9.46
273,Clyde River,1,CA,1586563437,92,70.47,-68.59,6.8,18.34
274,Helong,5,CN,1586563439,37,42.54,129.0,48.74,9.91
275,Barra de Tecoanapa,1,MX,1586563440,62,16.52,-98.75,84.61,9.82
276,Cap Malheureux,40,MU,1586563441,78,-19.98,57.61,78.8,11.41
277,Mapimí,75,MX,1586563442,16,25.82,-103.85,86.0,4.7
278,Lüderitz,0,NA,1586563307,87,-26.65,15.16,55.4,4.7
279,Ruteng,97,ID,1586563445,63,-8.61,120.47,69.4,0.92
280,Christchurch,1,NZ,1586563210,72,-43.53,172.63,63.0,13.87
